n_of_job,n_of_family,problem,iteration,seed1,seed2,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness
30,6,2,7,44,49,3.395,15,53,1.5641,121,10.071,121
30,6,2,8,44,50,3.1972,15,53,1.1346,119,10.0731,112
30,6,2,9,44,51,4.1227,15,53,0.94,119,10.0863,112
30,6,3,0,45,42,3.2255,15,67,1.0481,94,10.0765,92
30,6,3,1,45,43,3.1524,15,67,1.0538,94,10.9525,91
30,6,3,2,45,44,3.1867,15,67,1.0488,94,10.0712,92
30,6,3,3,45,45,3.1394,15,67,1.2618,94,10.0721,90
30,6,3,4,45,46,3.1929,15,67,1.0682,94,11.0011,94
30,6,3,5,45,47,3.5115,15,67,1.0116,94,10.0729,91
30,6,3,6,45,48,3.199,15,67,1.2012,94,10.5741,91
30,6,3,7,45,49,3.23,15,67,1.0157,94,10.0838,92
30,6,3,8,45,50,3.1769,15,67,1.1428,94,10.0852,90
30,6,3,9,45,51,3.9137,15,67,1.0604,94,10.0836,92
30,6,4,0,46,42,2.8164,10,120,0.6984,125,0.6226,125
30,6,4,1,46,43,2.9986,10,120,0.7368,125,0.8403,125
30,6,4,2,46,44,2.7632,10,120,0.7705,125,0.7495,125
30,6,4,3,46,45,2.797,10,120,0.7422,125,0.7712,125
30,6,4,4,46,46,3.0123,10,120,0.7895,125,0.7764,125
30,6,4,5,46,47,3.0295,10,120,0.7544,125,0.8363,125
30,6,4,6,46,48,3.0229,10,120,0.7636,125,0.7427,125
30,6,4,7,46,49,2.9583,10,120,0.8318,125,0.7526,125
30,6,4,8,46,50,3.6299,10,120,0.804,125,0.7234,125
30,6,4,9,46,51,2.9278,10,120,0.7771,125,0.728,125
60,3,0,0,42,42,25.5944,25,231,3.9481,470,10.0865,475
60,3,0,1,42,43,21.5593,25,231,3.0138,472,10.0856,472
60,3,0,2,42,44,20.0816,25,231,2.3893,472,10.0589,474
60,3,0,3,42,45,27.7433,25,231,3.7035,483,10.0854,472
60,3,0,4,42,46,20.701,25,231,3.3364,484,10.0798,471
60,3,0,5,42,47,17.6194,25,231,2.3787,472,10.0822,468
60,3,0,6,42,48,19.1468,25,231,2.5473,482,10.0769,471
60,3,0,7,42,49,19.6299,25,231,2.8778,478,10.0816,471
60,3,0,8,42,50,17.1672,25,231,2.748,472,10.0869,472
60,3,0,9,42,51,19.1535,25,231,2.5436,487,10.0688,471
60,3,1,0,43,42,26.9459,21,197,2.1816,212,10.0854,199
60,3,1,1,43,43,26.7333,21,195,1.87,215,10.5359,212
60,3,1,2,43,44,23.7002,21,197,3.7898,219,10.5607,209
60,3,1,3,43,45,29.1348,21,194,2.9133,231,10.0806,225
60,3,1,4,43,46,26.4395,21,194,2.5672,223,10.7317,205
60,3,1,5,43,47,25.5943,21,197,3.0628,219,10.081,209
60,3,1,6,43,48,24.9783,21,195,2.0119,201,10.8692,185
60,3,1,7,43,49,22.508,21,197,2.2624,205,10.5262,197
60,3,1,8,43,50,27.8373,21,194,2.0512,221,10.0888,203
60,3,1,9,43,51,25.1763,21,196,3.4807,233,10.5439,221
60,3,2,0,44,42,25.0611,21,311,3.7333,355,10.0709,352
60,3,2,1,44,43,28.6404,21,319,1.9457,364,10.0753,353
60,3,2,2,44,44,30.0898,21,319,1.9857,364,10.082,353
60,3,2,3,44,45,25.4321,21,311,2.3505,364,10.8406,352
60,3,2,4,44,46,24.1242,21,313,1.9175,368,10.8332,350
60,3,2,5,44,47,21.6681,21,319,1.7511,364,10.0797,353
60,3,2,6,44,48,32.7252,21,311,1.9354,366,10.6313,350
60,3,2,7,44,49,29.2847,21,313,3.115,356,10.079,352
60,3,2,8,44,50,34.3674,21,313,3.6635,366,10.0789,352
60,3,2,9,44,51,29.0867,21,311,2.2137,365,10.7277,348
60,3,3,0,45,42,28.5811,26,546,2.921,648,10.0792,645
60,3,3,1,45,43,28.0784,26,546,2.6769,643,10.084,636
60,3,3,2,45,44,27.0886,26,546,2.7706,650,10.0757,639
60,3,3,3,45,45,29.855,26,548,2.3484,621,10.6341,617
60,3,3,4,45,46,20.609,26,560,3.1365,659,10.0847,654
60,3,3,5,45,47,29.5792,26,546,2.4515,650,10.0711,639
60,3,3,6,45,48,23.2166,26,554,3.1364,648,10.0772,640
60,3,3,7,45,49,29.522,26,546,2.6937,646,10.0841,643
60,3,3,8,45,50,30.922,26,548,2.5526,623,10.5938,624
60,3,3,9,45,51,33.955,26,556,2.8414,639,10.0744,636
60,3,4,0,46,42,15.3488,19,265,2.1591,377,10.0727,373
60,3,4,1,46,43,18.4571,19,265,1.9876,379,10.0676,373
60,3,4,2,46,44,17.5562,19,265,2.5362,377,10.0778,373
60,3,4,3,46,45,15.8126,19,265,2.4105,374,10.6546,373
60,3,4,4,46,46,17.7873,19,265,2.2129,377,10.6315,373
60,3,4,5,46,47,18.7356,19,265,2.143,377,10.6544,373
60,3,4,6,46,48,22.1067,19,265,2.4546,380,10.8118,374
60,3,4,7,46,49,17.797,19,265,2.1879,376,10.6376,373
60,3,4,8,46,50,23.3204,19,265,2.0744,377,10.7402,376
60,3,4,9,46,51,19.725,19,265,2.1832,374,10.7611,373
60,6,0,0,42,42,19.1727,25,406,4.124,448,10.7401,436
60,6,0,1,42,43,22.7311,25,388,4.5403,450,10.0799,430
60,6,0,2,42,44,18.4754,25,406,3.4627,454,10.0803,436
60,6,0,3,42,45,20.8203,25,388,3.9423,464,10.0868,440
60,6,0,4,42,46,24.0412,25,388,3.6179,451,10.0926,452
60,6,0,5,42,47,24.6023,25,388,2.6194,454,10.0795,436
60,6,0,6,42,48,26.6265,25,388,3.0376,462,10.0775,436
60,6,0,7,42,49,21.8989,25,388,2.7917,460,10.085,429
60,6,0,8,42,50,28.1005,25,388,3.4178,459,10.7938,430
60,6,0,9,42,51,18.0118,25,406,2.7524,459,10.8261,444
60,6,1,0,43,42,17.9449,24,253,2.8874,299,10.8324,267
60,6,1,1,43,43,16.0369,24,259,3.8324,307,10.9288,275
60,6,1,2,43,44,17.7855,24,253,4.6096,301,10.836,266
60,6,1,3,43,45,15.9259,24,259,4.3764,300,10.9575,276
60,6,1,4,43,46,16.0786,24,253,3.2559,305,10.0697,267
60,6,1,5,43,47,18.2984,24,253,2.4153,296,10.0828,267
60,6,1,6,43,48,18.2361,24,253,4.0082,299,10.0747,266
60,6,1,7,43,49,21.398,24,253,2.7321,298,10.0841,269
60,6,1,8,43,50,21.475,24,253,2.3958,296,10.0803,265
60,6,1,9,43,51,21.208,24,253,2.9315,294,10.0735,269
60,6,2,0,44,42,18.386,23,308,2.5068,411,10.0807,384
60,6,2,1,44,43,23.5976,23,308,2.752,430,10.0833,402
60,6,2,2,44,44,16.7935,23,308,2.2613,416,10.0782,384
60,6,2,3,44,45,19.3605,23,309,3.1187,395,10.075,382
60,6,2,4,44,46,17.1067,23,309,2.5675,383,10.0848,366
60,6,2,5,44,47,18.0583,23,309,3.0375,421,10.0758,407
60,6,2,6,44,48,26.8217,23,308,2.4317,411,10.0643,384
