n_of_job,n_of_family,problem,iteration,seed1,seed2,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness
30,6,2,7,44,49,2.4225,15,137,1.1485,120,10.0778,119
30,6,2,8,44,50,2.612,15,137,0.9777,120,10.079,120
30,6,2,9,44,51,3.1251,15,137,1.0167,120,10.0708,119
30,6,3,0,45,42,2.5738,15,98,1.0691,108,10.0733,109
30,6,3,1,45,43,2.6825,15,98,1.0432,108,11.1897,109
30,6,3,2,45,44,1.9589,15,98,1.215,108,10.0734,109
30,6,3,3,45,45,2.2842,15,98,1.0024,108,11.1445,109
30,6,3,4,45,46,2.4283,15,98,1.1046,108,10.0797,109
30,6,3,5,45,47,2.401,15,98,1.0853,108,10.0753,109
30,6,3,6,45,48,2.4512,15,98,1.1097,108,11.2151,109
30,6,3,7,45,49,2.2177,15,98,1.0477,108,10.0664,109
30,6,3,8,45,50,2.256,15,98,1.0716,108,11.2749,109
30,6,3,9,45,51,2.4574,15,98,1.3769,108,10.0636,109
30,6,4,0,46,42,1.9481,10,217,0.6449,125,0.8194,125
30,6,4,1,46,43,1.7226,10,217,0.6827,125,0.8151,125
30,6,4,2,46,44,1.8534,10,217,0.695,125,0.8416,125
30,6,4,3,46,45,1.7871,10,217,0.6952,125,0.7968,125
30,6,4,4,46,46,3.021,10,217,0.7102,125,0.7499,125
30,6,4,5,46,47,1.9245,10,217,0.6679,125,0.5957,125
30,6,4,6,46,48,1.6956,10,217,0.6553,125,0.554,125
30,6,4,7,46,49,1.7965,10,217,0.6689,125,0.7418,125
30,6,4,8,46,50,1.7475,10,217,0.6339,125,0.5652,125
30,6,4,9,46,51,1.7706,10,217,0.7244,125,0.7465,125
60,3,0,0,42,42,27.6925,25,576,3.1714,476,10.0852,472
60,3,0,1,42,43,27.6812,25,576,1.9865,486,10.0739,472
60,3,0,2,42,44,23.1312,25,586,2.7734,498,11.1982,486
60,3,0,3,42,45,24.0197,25,587,2.3416,472,11.2122,468
60,3,0,4,42,46,32.5139,25,564,2.6725,501,10.0745,490
60,3,0,5,42,47,24.7948,25,587,2.8468,504,10.073,502
60,3,0,6,42,48,27.7492,25,574,3.2331,508,10.0784,483
60,3,0,7,42,49,22.4001,25,574,1.9721,511,10.0754,483
60,3,0,8,42,50,27.1932,25,581,2.316,488,11.3459,483
60,3,0,9,42,51,20.8992,25,579,2.9791,508,11.4682,509
60,3,1,0,43,42,30.221,21,343,2.1631,192,10.0742,186
60,3,1,1,43,43,31.9105,21,343,1.9439,206,10.0629,198
60,3,1,2,43,44,28.7605,21,329,1.887,194,11.7594,184
60,3,1,3,43,45,29.4341,21,341,1.9286,199,11.7528,187
60,3,1,4,43,46,27.5049,21,353,2.0285,205,10.0775,200
60,3,1,5,43,47,25.9421,21,341,2.4735,203,10.0762,195
60,3,1,6,43,48,26.1568,21,341,1.862,202,10.07,195
60,3,1,7,43,49,32.1965,21,349,1.6582,187,11.7197,181
60,3,1,8,43,50,25.4729,21,345,1.2153,204,11.1879,197
60,3,1,9,43,51,28.7953,21,344,2.5556,218,10.0762,198
60,3,2,0,44,42,25.7598,21,746,1.9649,350,10.0702,354
60,3,2,1,44,43,28.1684,21,699,2.0515,332,10.065,334
60,3,2,2,44,44,12.6031,21,813,2.1036,388,10.0762,391
60,3,2,3,44,45,31.8655,21,670,1.859,385,10.0727,380
60,3,2,4,44,46,20.669,21,787,1.9442,353,10.0758,347
60,3,2,5,44,47,31.8568,21,677,1.9056,360,11.3966,364
60,3,2,6,44,48,25.3562,21,705,2.0262,405,11.5361,391
60,3,2,7,44,49,27.247,21,663,2.1334,384,10.079,373
60,3,2,8,44,50,30.723,21,670,2.4374,407,10.074,408
60,3,2,9,44,51,12.4448,21,791,2.0796,391,10.073,383
60,3,3,0,45,42,23.3255,26,1025,1.9251,658,10.0726,650
60,3,3,1,45,43,32.8609,26,1042,2.2541,627,10.0688,617
60,3,3,2,45,44,23.3114,26,1025,2.7252,653,10.0812,649
60,3,3,3,45,45,24.262,26,1042,2.8284,619,10.0735,618
60,3,3,4,45,46,33.5437,26,1022,3.8349,658,10.0718,652
60,3,3,5,45,47,21.9194,26,1042,2.3684,624,10.0759,617
60,3,3,6,45,48,10.9472,26,1150,2.7088,666,11.7798,666
60,3,3,7,45,49,25.0673,26,1039,4.2292,648,10.075,651
60,3,3,8,45,50,32.8147,26,1045,2.2418,659,10.0732,643
60,3,3,9,45,51,28.6518,26,1023,2.5034,656,10.0787,655
60,3,4,0,46,42,20.7843,19,624,2.5406,352,10.0723,348
60,3,4,1,46,43,20.3892,19,628,1.9565,345,10.0731,337
60,3,4,2,46,44,19.5127,19,647,1.9968,363,10.0816,351
60,3,4,3,46,45,18.837,19,628,1.614,345,10.0769,337
60,3,4,4,46,46,19.5079,19,643,1.8936,366,10.073,354
60,3,4,5,46,47,11.442,19,641,3.6068,352,10.0752,343
60,3,4,6,46,48,23.8215,19,629,1.562,347,10.0828,337
60,3,4,7,46,49,28.4325,19,624,1.6624,354,10.0756,344
60,3,4,8,46,50,23.896,19,628,1.7836,340,10.0796,335
60,3,4,9,46,51,14.0976,19,649,1.9581,362,10.0706,351
60,6,0,0,42,42,20.8724,25,738,3.7908,426,10.0686,411
60,6,0,1,42,43,15.5626,25,738,4.77,423,10.064,407
60,6,0,2,42,44,14.929,25,738,3.0104,427,11.8652,407
60,6,0,3,42,45,13.9836,25,738,2.3151,432,11.9109,413
60,6,0,4,42,46,15.2668,25,738,2.9077,425,10.0722,413
60,6,0,5,42,47,18.2694,25,738,3.1248,424,10.0756,419
60,6,0,6,42,48,20.0742,25,738,2.3888,424,10.073,407
60,6,0,7,42,49,17.4776,25,738,3.1008,428,10.0711,405
60,6,0,8,42,50,24.8401,25,725,2.7733,414,10.078,398
60,6,0,9,42,51,18.0357,25,738,2.3675,422,10.0742,407
60,6,1,0,43,42,20.9277,24,493,2.9837,308,10.065,289
60,6,1,1,43,43,25.7216,24,491,2.7579,293,10.0757,283
60,6,1,2,43,44,23.3995,24,488,3.1378,298,10.0807,278
60,6,1,3,43,45,16.4453,24,495,3.0064,276,10.0816,252
60,6,1,4,43,46,13.2137,24,495,2.9033,301,10.0785,272
60,6,1,5,43,47,11.9812,24,493,3.574,276,11.8815,271
60,6,1,6,43,48,21.269,24,488,4.8553,307,10.0791,288
60,6,1,7,43,49,26.9736,24,488,3.0558,306,10.0778,288
60,6,1,8,43,50,28.1709,24,490,2.675,298,10.0751,288
60,6,1,9,43,51,28.7438,24,488,3.317,306,10.0758,288
60,6,2,0,44,42,18.5392,23,614,3.0658,420,10.0786,393
60,6,2,1,44,43,17.5524,23,614,2.0458,429,10.0744,393
60,6,2,2,44,44,21.3975,23,614,2.1519,427,10.0786,408
60,6,2,3,44,45,24.2983,23,616,3.4955,406,10.0787,389
60,6,2,4,44,46,18.012,23,614,3.1203,420,10.073,408
60,6,2,5,44,47,24.6103,23,617,3.3071,421,10.0751,395
60,6,2,6,44,48,24.5819,23,614,2.9871,409,11.7976,393
60,6,2,7,44,49,13.1264,23,626,2.4553,402,10.0792,381
60,6,2,8,44,50,19.3795,23,614,2.2511,422,10.0652,395
60,6,2,9,44,51,23.5311,23,614,2.3852,421,10.0796,407
60,6,3,0,45,42,22.7167,28,635,3.3053,442,10.0678,440
60,6,3,1,45,43,23.3784,28,635,3.2304,451,10.0767,436
60,6,3,2,45,44,24.3626,28,635,2.7988,447,11.8352,438
60,6,3,3,45,45,20.7735,28,635,4.2193,438,11.8108,428
60,6,3,4,45,46,22.9273,28,632,6.1036,448,10.0749,431
60,6,3,5,45,47,12.143,28,646,2.9601,471,11.7837,449
60,6,3,6,45,48,30.8557,28,635,3.9772,442,10.0828,437
60,6,3,7,45,49,19.881,28,635,3.762,432,10.0789,435
60,6,3,8,45,50,24.9154,28,635,3.2384,438,10.0701,434
60,6,3,9,45,51,27.5954,28,635,3.8669,444,10.0825,436
60,6,4,0,46,42,29.906,19,999,1.5988,350,11.8921,347
60,6,4,1,46,43,11.5803,19,1029,1.9005,354,10.0837,357
60,6,4,2,46,44,17.6081,19,1027,1.7025,341,10.0709,338
60,6,4,3,46,45,18.2319,19,1027,1.4387,335,10.0743,338
60,6,4,4,46,46,17.684,19,1027,1.8713,335,10.0706,338
60,6,4,5,46,47,15.21,19,1027,1.7703,335,11.6961,337
60,6,4,6,46,48,14.3605,19,1027,1.7861,335,11.8566,338
