n_of_job,n_of_family,problem,iteration,seed1,seed2,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness
30,6,2,7,44,49,2.9952,15,81,1.0247,127,10.0705,127
30,6,2,8,44,50,2.5115,15,81,1.1469,127,10.0799,127
30,6,2,9,44,51,2.1434,15,81,0.9153,130,10.9285,127
30,6,3,0,45,42,2.2271,15,28,1.2856,114,10.0662,114
30,6,3,1,45,43,2.229,15,28,1.1431,113,10.8933,114
30,6,3,2,45,44,2.3339,15,28,1.0649,114,10.0778,114
30,6,3,3,45,45,2.3949,15,28,1.0759,114,10.0764,114
30,6,3,4,45,46,2.264,15,28,1.0932,114,10.9134,114
30,6,3,5,45,47,2.5266,15,28,1.0403,114,10.0714,114
30,6,3,6,45,48,2.4802,15,28,1.7019,114,10.9782,114
30,6,3,7,45,49,2.2213,15,28,1.2965,114,10.0842,114
30,6,3,8,45,50,2.1694,15,28,1.1699,114,10.068,114
30,6,3,9,45,51,3.6707,15,28,1.3708,114,10.0804,114
30,6,4,0,46,42,2.0836,10,87,0.698,141,1.2305,137
30,6,4,1,46,43,1.988,10,87,0.6961,141,1.2574,137
30,6,4,2,46,44,2.4116,10,87,0.6746,141,1.215,137
30,6,4,3,46,45,2.0824,10,87,0.6891,141,1.1092,137
30,6,4,4,46,46,3.3153,10,87,0.6674,141,1.1636,137
30,6,4,5,46,47,1.9033,10,87,0.6976,141,1.0162,137
30,6,4,6,46,48,2.1486,10,87,0.7158,141,1.287,137
30,6,4,7,46,49,2.0831,10,87,0.6521,141,0.9794,137
30,6,4,8,46,50,2.2854,10,87,0.7062,141,1.2987,137
30,6,4,9,46,51,2.4322,10,87,0.6989,141,1.2864,137
60,3,0,0,42,42,37.2245,25,152,2.3679,624,11.0371,633
60,3,0,1,42,43,34.1022,25,191,2.9582,536,10.0819,528
60,3,0,2,42,44,33.3234,25,183,2.3761,545,10.0651,525
60,3,0,3,42,45,33.6541,25,188,2.698,541,10.0786,544
60,3,0,4,42,46,34.1788,25,174,3.3056,558,10.0727,577
60,3,0,5,42,47,32.2344,25,185,3.9815,555,10.0783,546
60,3,0,6,42,48,33.0792,25,185,3.0213,556,11.0296,539
60,3,0,7,42,49,36.597,25,194,2.3701,552,10.0727,557
60,3,0,8,42,50,37.5475,25,186,2.2587,558,11.0996,564
60,3,0,9,42,51,31.29,25,187,2.5374,562,10.0816,560
60,3,1,0,43,42,10.3886,21,136,1.9803,223,10.0654,225
60,3,1,1,43,43,26.7042,21,101,1.9446,204,10.0811,196
60,3,1,2,43,44,32.5524,21,100,3.0456,223,11.0551,219
