n_of_job,n_of_family,problem,iteration,seed1,seed2,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness
30,6,2,7,44,49,2.1322,15,53,1.6116,121,10.085,121
30,6,2,8,44,50,2.1618,15,53,1.076,119,10.0783,112
30,6,2,9,44,51,2.168,15,53,1.065,119,10.0695,112
30,6,3,0,45,42,2.1742,15,67,1.2337,94,10.073,91
30,6,3,1,45,43,2.1968,15,67,1.0482,94,10.0877,91
30,6,3,2,45,44,2.197,15,67,1.1647,94,10.0794,91
30,6,3,3,45,45,2.1554,15,67,1.0708,94,10.0747,92
30,6,3,4,45,46,2.2856,15,67,1.0921,94,10.0686,92
30,6,3,5,45,47,2.2838,15,67,1.1193,94,10.0747,92
30,6,3,6,45,48,2.2323,15,67,1.147,94,10.0812,91
30,6,3,7,45,49,2.3941,15,67,1.1484,94,10.0787,92
30,6,3,8,45,50,2.1729,15,67,1.1113,94,10.0654,92
30,6,3,9,45,51,2.3319,15,67,1.0989,94,10.0803,91
30,6,4,0,46,42,1.8536,10,120,0.7189,125,0.637,125
30,6,4,1,46,43,2.0131,10,120,0.7515,125,0.8559,125
30,6,4,2,46,44,1.8572,10,120,0.7236,125,0.7811,125
30,6,4,3,46,45,1.8773,10,120,0.7459,125,0.7398,125
30,6,4,4,46,46,1.8822,10,120,0.7097,125,0.8327,125
30,6,4,5,46,47,1.9486,10,120,0.7484,125,0.8504,125
30,6,4,6,46,48,1.9174,10,120,0.7161,125,0.8591,125
30,6,4,7,46,49,1.8657,10,120,0.6897,125,0.7535,125
30,6,4,8,46,50,1.9066,10,120,0.7568,125,0.6334,125
30,6,4,9,46,51,1.8812,10,120,0.724,125,0.7317,125
60,3,0,0,42,42,18.4919,25,231,2.6592,480,10.0737,473
60,3,0,1,42,43,22.6935,25,231,2.9741,470,10.0754,474
60,3,0,2,42,44,20.5716,25,231,2.8892,473,10.0799,473
60,3,0,3,42,45,17.4354,25,231,3.2274,488,10.0829,473
60,3,0,4,42,46,17.8146,25,231,2.3392,483,10.0735,468
60,3,0,5,42,47,20.3872,25,231,2.3179,484,10.0852,471
60,3,0,6,42,48,18.9078,25,231,2.7421,481,10.078,472
60,3,0,7,42,49,14.9118,25,231,2.8215,474,10.0794,472
60,3,0,8,42,50,17.0703,25,231,1.9459,483,10.0791,472
60,3,0,9,42,51,18.0461,25,231,3.1837,472,10.0817,472
60,3,1,0,43,42,22.3983,21,194,2.7626,232,10.0843,225
60,3,1,1,43,43,24.6337,21,194,2.353,227,10.0809,215
60,3,1,2,43,44,24.5982,21,194,3.4233,227,10.0744,225
60,3,1,3,43,45,20.0418,21,197,2.264,225,10.0919,209
60,3,1,4,43,46,21.6568,21,197,3.0962,225,10.0821,209
60,3,1,5,43,47,32.9331,21,194,2.8883,219,10.0823,205
60,3,1,6,43,48,21.7188,21,196,2.9549,235,10.0796,227
60,3,1,7,43,49,22.5652,21,197,3.5373,219,10.0764,209
60,3,1,8,43,50,28.1874,21,196,2.7918,217,10.0839,201
60,3,1,9,43,51,18.5427,21,197,2.991,209,10.0742,197
60,3,2,0,44,42,24.7655,21,311,3.1571,360,10.0768,352
60,3,2,1,44,43,29.6807,21,311,1.9535,355,10.0828,352
60,3,2,2,44,44,31.4789,21,311,2.2251,365,10.0673,350
60,3,2,3,44,45,23.8478,21,319,2.0985,366,10.0841,353
60,3,2,4,44,46,20.198,21,319,1.9175,364,10.0783,353
60,3,2,5,44,47,21.9633,21,313,2.2262,367,10.0858,350
60,3,2,6,44,48,31.349,21,313,2.5828,368,10.0777,348
60,3,2,7,44,49,33.2935,21,311,2.1895,365,10.0883,350
60,3,2,8,44,50,21.2157,21,319,2.2531,360,10.081,353
60,3,2,9,44,51,22.0053,21,311,1.9952,360,10.0827,350
60,3,3,0,45,42,21.2415,26,558,2.4211,652,10.0867,643
60,3,3,1,45,43,26.7903,26,548,2.7865,630,10.0801,624
60,3,3,2,45,44,24.5866,26,567,4.0352,647,10.0767,648
60,3,3,3,45,45,26.7462,26,548,2.8235,620,10.0805,617
60,3,3,4,45,46,27.0332,26,546,2.7506,648,10.0759,643
60,3,3,5,45,47,20.7853,26,546,2.8846,650,10.0749,641
60,3,3,6,45,48,23.0778,26,546,2.9648,650,10.0703,645
60,3,3,7,45,49,23.8301,26,546,2.4626,648,10.0799,644
60,3,3,8,45,50,25.0491,26,554,2.7342,650,10.0715,644
60,3,3,9,45,51,24.4705,26,546,3.0203,643,10.0779,642
60,3,4,0,46,42,15.8604,19,265,1.4641,377,10.0854,376
60,3,4,1,46,43,16.0045,19,265,4.4787,375,10.0862,373
60,3,4,2,46,44,21.39,19,265,2.0035,379,10.0692,374
60,3,4,3,46,45,13.3173,19,265,1.8319,377,10.0628,374
60,3,4,4,46,46,12.6907,19,265,1.944,376,10.0688,376
60,3,4,5,46,47,15.2324,19,265,1.9991,377,10.0634,373
60,3,4,6,46,48,15.3672,19,265,2.9226,374,10.0751,374
60,3,4,7,46,49,15.0596,19,265,1.7673,377,10.079,373
60,3,4,8,46,50,14.9323,19,265,1.7428,379,10.067,376
60,3,4,9,46,51,14.6053,19,265,1.2711,382,10.0801,374
60,6,0,0,42,42,22.5012,25,388,2.9697,461,10.0713,436
60,6,0,1,42,43,15.7851,25,406,3.442,454,10.077,467
60,6,0,2,42,44,16.3397,25,406,2.5254,462,10.0803,442
60,6,0,3,42,45,16.5341,25,406,3.5301,464,10.0798,437
60,6,0,4,42,46,24.3063,25,388,2.829,456,10.0678,430
60,6,0,5,42,47,14.6721,25,406,4.0352,456,10.087,442
60,6,0,6,42,48,13.7062,25,406,3.0139,464,10.0695,439
60,6,0,7,42,49,20.9325,25,388,2.4777,466,10.0682,430
60,6,0,8,42,50,15.9084,25,406,3.5338,460,10.086,436
60,6,0,9,42,51,26.5956,25,388,3.0654,460,10.0898,441
60,6,1,0,43,42,17.5566,24,253,2.0098,306,10.0797,265
60,6,1,1,43,43,18.1729,24,253,3.0445,293,10.076,265
60,6,1,2,43,44,15.1203,24,253,2.9209,299,10.0656,267
60,6,1,3,43,45,15.1942,24,253,3.3254,301,10.079,266
60,6,1,4,43,46,16.1572,24,253,3.4709,298,10.0831,265
60,6,1,5,43,47,12.6704,24,253,2.6461,305,10.0835,268
60,6,1,6,43,48,12.6179,24,259,3.0268,313,10.0677,275
60,6,1,7,43,49,13.9704,24,255,2.4766,310,10.0797,268
60,6,1,8,43,50,16.9158,24,253,3.7401,296,10.0886,268
60,6,1,9,43,51,16.6113,24,253,2.9543,297,10.0747,265
60,6,2,0,44,42,19.2477,23,308,3.3258,412,10.0723,384
60,6,2,1,44,43,13.7598,23,309,3.5795,400,10.0747,385
60,6,2,2,44,44,18.52,23,308,2.8353,414,10.0822,402
60,6,2,3,44,45,18.4353,23,308,2.3996,402,10.0758,384
60,6,2,4,44,46,14.2934,23,309,3.5247,414,10.0757,400
60,6,2,5,44,47,11.5583,23,309,2.3655,389,10.0733,366
60,6,2,6,44,48,19.6768,23,308,2.6381,416,10.0804,386
60,6,2,7,44,49,14.863,23,309,4.0826,381,10.0832,366
60,6,2,8,44,50,15.7532,23,309,3.7817,377,10.0799,366
60,6,2,9,44,51,17.0711,23,308,2.8491,399,10.0833,384
60,6,3,0,45,42,16.5612,28,293,2.8361,432,10.0945,445
60,6,3,1,45,43,12.2002,28,295,3.9926,432,10.0821,443
60,6,3,2,45,44,14.3261,28,293,2.9814,443,10.076,448
60,6,3,3,45,45,13.0921,28,293,3.2176,438,10.0724,445
60,6,3,4,45,46,18.6517,28,293,3.2662,446,10.0826,443
60,6,3,5,45,47,18.339,28,293,3.0513,443,10.0648,445
60,6,3,6,45,48,21.338,28,291,3.262,455,10.0846,453
60,6,3,7,45,49,18.0894,28,293,3.6664,441,10.0743,442
60,6,3,8,45,50,14.7398,28,293,4.2981,450,10.0735,446
60,6,3,9,45,51,14.5026,28,295,3.971,426,10.0754,418
60,6,4,0,46,42,11.776,19,553,1.891,373,10.0859,372
60,6,4,1,46,43,14.0029,19,553,1.8678,374,10.0744,372
60,6,4,2,46,44,12.9872,19,553,1.9601,371,10.0799,368
60,6,4,3,46,45,18.9849,19,543,1.6695,365,10.0832,362
60,6,4,4,46,46,12.9911,19,547,1.8041,398,10.0751,389
60,6,4,5,46,47,13.663,19,549,1.8049,367,10.0706,367
60,6,4,6,46,48,15.1186,19,543,1.7616,366,10.0753,361
60,6,4,7,46,49,18.6258,19,543,2.1422,382,10.0781,370
60,6,4,8,46,50,13.8652,19,553,1.794,376,10.0804,372
60,6,4,9,46,51,12.5894,19,553,1.8261,371,10.0724,368
120,3,0,0,42,42,21.3093,41,1693,13.0365,1627,10.0792,1592
120,3,0,1,42,43,104.5623,41,997,7.9102,1623,10.0762,1535
120,3,0,2,42,44,21.4735,41,1693,7.6344,1636,10.0825,1592
120,3,0,3,42,45,21.3627,41,1693,6.471,1673,10.0866,1592
120,3,0,4,42,46,113.2347,41,984,5.8902,1751,10.0786,1645
120,3,0,5,42,47,98.5604,41,984,5.5681,1594,10.07,1458
120,3,0,6,42,48,21.5348,41,1693,8.2514,1669,10.0849,1592
120,3,0,7,42,49,21.5047,41,1693,6.2474,1662,10.0827,1592
120,3,0,8,42,50,138.3879,41,1001,6.6584,1582,10.0649,1501
120,3,0,9,42,51,21.5692,41,1693,5.4024,1694,10.0859,1592
120,3,1,0,43,42,122.7048,40,393,10.2446,777,10.0837,659
120,3,1,1,43,43,32.8563,40,628,8.7882,853,10.0701,636
120,3,1,2,43,44,157.9512,40,372,9.0818,732,10.0778,636
120,3,1,3,43,45,122.7817,40,366,8.2588,775,10.083,623
120,3,1,4,43,46,57.9393,40,476,10.1263,735,10.0857,619
120,3,1,5,43,47,127.6336,40,394,6.8511,841,10.0697,640
120,3,1,6,43,48,145.3855,40,379,7.7955,821,10.0872,624
120,3,1,7,43,49,42.6649,40,568,6.7375,885,10.0807,634
120,3,1,8,43,50,131.6057,40,389,9.0774,800,10.0753,663
120,3,1,9,43,51,101.8728,40,400,10.3714,772,10.0692,690
120,3,2,0,44,42,114.4793,40,1258,6.2975,1551,10.0848,1444
120,3,2,1,44,43,114.0083,40,1228,6.9413,1452,10.0637,1477
120,3,2,2,44,44,109.8354,40,1326,6.7717,1554,10.0787,1544
