n_of_job,n_of_family,problem,iteration,seed1,seed2,RKGA_P1_time,RKGA_P1_bin,RKGA_P1_fitness,BRKGA_P1_time,BRKGA_P1_bin,BRKGA_P1_fitness,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness
60,3,2,8,44,50,11.6212,21,445,12.5723,21,476,49.0894,21,362
60,3,2,9,44,51,16.8661,21,442,40.8001,21,367,51.1737,21,358
60,3,2,10,44,52,31.982,21,416,34.452,21,357,42.1097,21,371
60,3,2,11,44,53,21.3131,21,433,13.2701,21,460,49.7662,21,365
60,3,2,12,44,54,24.8283,21,421,41.9477,21,360,22.5316,21,412
60,3,2,13,44,55,18.7313,21,436,41.997,21,369,48.4458,21,354
60,3,2,14,44,56,14.3655,21,421,22.1109,21,417,21.8324,21,405
60,3,2,15,44,57,18.0405,21,438,20.2579,21,449,40.914,21,371
60,3,2,16,44,58,19.6077,21,412,33.2555,21,381,54.8537,21,362
60,3,2,17,44,59,20.1002,21,430,48.4691,21,365,47.1414,21,380
60,3,2,18,44,60,28.9363,21,424,20.9947,21,400,43.9686,21,365
60,3,2,19,44,61,17.8738,21,453,21.7938,21,385,55.5435,21,357
60,3,2,20,44,62,40.4152,21,413,43.5408,21,371,48.1465,21,370
60,3,2,21,44,63,20.5672,21,434,39.2232,21,388,50.3993,21,362
60,3,2,22,44,64,15.7939,21,447,26.0021,21,397,46.2973,21,371
60,3,2,23,44,65,10.409,21,490,23.7274,21,410,13.9821,21,444
60,3,2,24,44,66,24.9291,21,426,14.6312,21,452,44.8751,21,371
60,3,2,25,44,67,23.5301,21,417,38.8927,21,369,44.8075,21,359
60,3,2,26,44,68,21.9461,21,421,51.6643,21,358,39.548,21,364
60,3,2,27,44,69,14.1262,21,458,29.0694,21,413,51.9511,21,370
60,3,2,28,44,70,23.0207,21,427,21.259,21,379,49.8452,21,355
60,3,2,29,44,71,18.9457,21,441,22.1328,21,424,52.1328,21,378
60,6,3,0,45,42,17.3115,28,540,32.5306,28,520,56.1169,28,499
60,6,3,1,45,43,22.7813,28,526,16.6096,28,530,36.36,28,489
60,6,3,2,45,44,20.0076,28,528,7.4225,28,547,17.5784,28,529
60,6,3,3,45,45,28.8025,28,511,37.4224,28,491,39.1122,28,520
60,6,3,4,45,46,24.6601,28,507,13.5769,28,529,38.8554,28,508
60,6,3,5,45,47,16.8452,28,531,19.2116,28,513,43.6043,28,483
60,6,3,6,45,48,18.1438,28,536,26.0352,28,506,35.9022,28,507
60,6,3,7,45,49,32.7275,28,510,8.4506,28,542,18.4106,28,532
60,6,3,8,45,50,25.3723,28,519,19.9043,28,530,42.9143,28,492
60,6,3,9,45,51,24.1931,28,532,37.5557,28,494,40.4525,28,490
60,6,3,10,45,52,28.3198,28,531,9.0658,28,539,33.9872,28,520
60,6,3,11,45,53,34.6423,28,512,26.0608,28,520,39.2815,28,521
60,6,3,12,45,54,16.3699,28,522,19.4989,28,525,46.0713,28,494
60,6,3,13,45,55,15.6883,28,533,28.5165,28,528,41.3036,28,499
60,6,3,14,45,56,19.4011,28,530,13.1127,28,538,54.0844,28,509
60,6,3,15,45,57,21.9172,28,526,45.2688,28,483,35.9624,28,489
60,6,3,16,45,58,20.49,28,522,42.7704,28,510,24.6589,28,521
60,6,3,17,45,59,23.9385,28,529,30.3399,28,517,42.8477,28,508
60,6,3,18,45,60,26.7369,28,527,13.7839,28,545,46.6049,28,488
60,6,3,19,45,61,18.3751,28,533,29.867,28,519,44.4527,28,517
60,6,3,20,45,62,24.2122,28,535,14.6637,28,528,48.6699,28,510
60,6,3,21,45,63,18.9258,28,530,40.0031,28,513,42.7007,28,514
60,6,3,22,45,64,16.9536,28,533,33.8727,28,491,74.2592,28,489
60,6,3,23,45,65,20.295,28,520,28.8127,28,501,43.2806,28,491
60,6,3,24,45,66,36.5586,28,527,19.6724,28,542,32.6361,28,521
60,6,3,25,45,67,8.9869,28,543,44.4393,28,491,34.2358,28,526
60,6,3,26,45,68,22.8095,28,524,11.6267,28,541,21.0816,28,525
60,6,3,27,45,69,23.4783,28,531,43.8878,28,526,41.8082,28,515
60,6,3,28,45,70,15.7114,28,540,42.0861,28,489,45.0486,28,491
60,6,3,29,45,71,38.0491,28,526,40.1584,28,491,62.3268,28,483
120,3,0,0,42,42,24.3212,41,2251,21.4015,41,2251,183.172,41,1317
120,3,0,1,42,43,26.1994,41,2251,140.6035,41,1419,164.7632,41,1331
120,3,0,2,42,44,26.6029,41,2251,163.4821,41,1386,34.3122,41,2251
120,3,0,3,42,45,21.5821,41,2251,130.7682,41,1356,170.7016,41,1336
120,3,0,4,42,46,26.8164,41,2251,158.8267,41,1345,168.3388,41,1354
120,3,0,5,42,47,20.0779,41,2251,112.479,41,1441,175.2576,41,1302
120,3,0,6,42,48,19.8843,41,2251,22.8885,41,2251,145.5125,41,1422
120,3,0,7,42,49,25.5522,41,2251,134.5127,41,1370,124.6861,41,1380
