n_of_job,n_of_family,problem,iteration,seed1,seed2,RKGA_P1_time,RKGA_P1_bin,RKGA_P1_fitness,RKGA_P2_time,RKGA_P2_fitness,BRKGA_P1_time,BRKGA_P1_bin,BRKGA_P1_fitness,BRKGA_P2_time,BRKGA_P2_fitness,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness
60,6,4,3,46,45,26.4997,19,379,1.9992,327,31.0088,19,379,1.7077,327,23.8852,19,394,1.5837,334,12.733,333
60,6,4,4,46,46,12.9673,19,413,2.0286,357,25.2982,19,379,2.07,327,17.8145,19,393,4.1541,336,10.0811,341
60,6,4,5,46,47,37.266,19,375,1.9317,319,28.8488,19,376,1.2785,344,27.9626,19,379,1.3668,327,10.0807,331
60,6,4,6,46,48,22.5094,19,393,1.831,327,27.8425,19,375,3.9615,323,22.4669,19,388,1.6048,325,12.9534,325
60,6,4,7,46,49,29.3022,19,399,2.496,351,24.2525,19,379,1.58,327,25.0797,19,379,1.9154,327,10.0834,331
60,6,4,8,46,50,46.8109,19,375,1.8581,319,12.9235,19,396,1.5287,328,24.5457,19,388,1.5577,342,10.0742,345
60,6,4,9,46,51,16.1418,19,422,1.897,351,31.8257,19,374,1.5933,350,27.3003,19,375,1.901,319,10.0742,322
120,3,0,0,42,42,29.4562,41,2251,7.9696,1719,138.5359,41,1362,6.7261,1268,133.1272,41,1409,4.7183,1347,10.0632,1289
120,3,0,1,42,43,29.7999,41,2251,8.691,1723,126.0801,41,1419,5.0209,1339,169.6035,41,1326,5.3357,1283,10.076,1171
120,3,0,2,42,44,29.3487,41,2251,6.6316,1772,146.1809,41,1386,5.5807,1329,143.4124,41,1334,4.5228,1324,10.0647,1279
120,3,0,3,42,45,29.2419,41,2251,15.3135,1686,115.608,41,1356,4.0012,1290,147.6696,41,1315,6.9434,1211,10.0908,1182
120,3,0,4,42,46,29.2869,41,2251,9.2545,1745,137.9344,41,1345,4.3228,1293,101.8278,41,1358,5.567,1231,10.0712,1239
120,3,0,5,42,47,29.8082,41,2251,6.8521,1741,203.0854,41,1403,4.9925,1303,127.2726,41,1332,5.6061,1210,10.0901,1155
120,3,0,6,42,48,29.5774,41,2251,8.8171,1752,249.6461,41,1305,6.7016,1235,142.3845,41,1437,5.6597,1303,10.0685,1289
120,3,0,7,42,49,30.0476,41,2251,6.3626,1733,126.1664,41,1370,6.3568,1242,208.9947,41,1320,4.0534,1284,10.065,1215
120,3,0,8,42,50,30.2927,41,2251,11.7513,1744,123.9242,41,1400,4.5942,1328,151.3505,41,1361,4.4122,1220,10.0759,1192
120,3,0,9,42,51,29.5046,41,2251,6.7132,1763,169.8834,41,1329,4.9475,1208,111.5744,41,1329,4.4337,1227,12.9722,1208
120,3,1,0,43,42,46.0193,40,1236,7.2102,994,167.6924,40,774,1.5797,774,152.1778,40,758,1.7382,758,12.8872,546
120,3,1,1,43,43,112.8397,40,1098,4.0191,925,199.9287,40,752,1.5803,752,119.0882,40,981,8.3663,806,10.0717,642
120,3,1,2,43,44,47.3842,40,1220,3.5422,950,98.9939,40,893,6.2262,674,121.0261,40,881,1.7179,881,10.0646,599
120,3,1,3,43,45,96.0275,40,1085,7.3211,877,235.7622,40,663,1.6652,663,120.0183,40,885,6.1147,677,10.0637,550
120,3,1,4,43,46,66.9916,40,1114,7.1737,870,111.8505,40,829,1.6699,829,107.356,40,832,4.5952,832,10.0764,589
120,3,1,5,43,47,50.9238,40,1152,3.7958,939,65.0006,40,967,1.6235,967,209.6923,40,756,1.7885,756,12.393,547
120,3,1,6,43,48,46.8427,40,1248,3.4567,964,127.032,40,794,1.5699,794,184.0349,40,751,4.411,751,10.0724,570
120,3,1,7,43,49,51.1246,40,1083,11.3235,926,149.7102,40,825,1.6294,825,120.0656,40,908,4.3578,908,10.0772,673
120,3,1,8,43,50,53.3092,40,1191,3.5871,1025,145.0134,40,682,1.7147,682,111.681,40,942,3.7622,767,10.0716,565
120,3,1,9,43,51,68.3054,40,1205,6.9952,934,203.7789,40,769,1.6014,769,158.8637,40,741,1.7299,741,10.0669,551
120,3,2,0,44,42,29.0831,41,2399,8.2374,1703,140.0777,40,1663,5.1317,1462,157.133,40,1638,7.8229,1476,10.0782,1491
120,3,2,1,44,43,29.8855,41,2399,5.4413,1672,135.4549,40,1626,5.731,1418,120.1346,40,1720,5.5522,1528,10.0674,1490
120,3,2,2,44,44,29.9925,41,2399,11.2521,1636,173.4614,40,1691,6.1179,1467,183.367,40,1660,6.0935,1414,10.0669,1430
120,3,2,3,44,45,29.4052,41,2399,9.3098,1649,144.8663,40,1595,4.5988,1595,132.1876,40,1687,7.592,1466,10.0543,1454
120,3,2,4,44,46,30.0249,41,2399,10.2319,1644,140.3339,40,1669,3.6942,1469,137.5311,40,1699,5.6929,1471,12.7679,1492
120,3,2,5,44,47,27.0302,41,2399,10.2486,1680,153.4147,40,1604,6.485,1456,203.9776,40,1688,6.0593,1536,10.0722,1497
120,3,2,6,44,48,29.5833,41,2399,6.7653,1685,125.13,40,1607,7.5272,1388,131.8427,40,1649,6.9613,1470,10.0738,1461
120,3,2,7,44,49,29.6869,41,2399,11.1933,1666,160.8221,40,1642,5.272,1448,134.5917,40,1723,7.672,1543,10.0713,1516
120,3,2,8,44,50,29.7698,41,2399,10.9025,1632,130.0457,40,1648,7.5102,1442,142.663,40,1695,6.4541,1453,10.0628,1453
120,3,2,9,44,51,30.7544,41,2399,7.6857,1699,158.4738,40,1773,7.392,1622,159.6765,40,1672,5.9133,1525,12.9925,1471
120,3,3,0,45,42,128.7844,42,2391,10.9364,1837,140.7528,42,1565,7.3821,1346,168.9974,42,1588,5.2719,1377,10.0702,1269
120,3,3,1,45,43,84.4916,42,2472,12.2193,1969,132.8403,42,1632,8.7722,1420,149.8968,42,1551,6.0078,1333,10.0737,1267
120,3,3,2,45,44,79.2535,42,2681,8.6294,1967,156.4403,42,1570,9.8373,1318,168.6137,42,1627,5.1181,1473,10.0668,1412
120,3,3,3,45,45,70.9368,42,2453,12.3487,1822,215.4043,42,1533,6.1543,1271,189.0392,42,1622,7.8337,1404,10.0952,1358
120,3,3,4,45,46,95.9974,42,2291,8.0232,1840,170.271,42,1538,5.4867,1307,170.2549,42,1559,7.4728,1308,10.0627,1225
120,3,3,5,45,47,64.894,42,2280,11.9576,1774,134.308,42,1629,5.6769,1348,177.1257,42,1530,2.3586,1530,10.0767,1273
120,3,3,6,45,48,83.7296,42,2780,11.0334,1967,217.9932,42,1508,5.8843,1372,141.6797,42,1537,4.3715,1488,10.0846,1379
120,3,3,7,45,49,155.5662,42,2363,6.0023,1883,104.9707,42,1770,5.1951,1502,142.3262,42,1603,5.6357,1447,10.0741,1351
120,3,3,8,45,50,56.2326,42,2673,14.0871,1805,170.2434,42,1560,6.8705,1438,153.1081,42,1623,5.4091,1474,10.0743,1369
120,3,3,9,45,51,84.2511,42,2252,9.3418,1847,139.7851,42,1584,2.131,1584,143.0494,42,1539,5.9769,1337,10.0824,1228
120,3,4,0,46,42,38.1805,35,2554,5.1132,1792,224.7332,34,1150,3.3507,1121,70.6095,34,2561,5.1148,1601,10.0812,1563
120,3,4,1,46,43,62.5578,35,1807,9.0462,1339,168.4625,34,1232,3.0835,1127,204.8136,34,1276,6.7011,1163,10.0828,1170
120,3,4,2,46,44,34.4021,35,2158,9.1926,1494,212.7155,34,1249,3.8764,1115,70.4798,35,1580,4.5874,1253,10.0786,1205
120,3,4,3,46,45,59.3133,35,2035,5.3579,1523,204.6592,34,1321,5.0523,1172,70.482,34,1995,4.7113,1413,10.0805,1394
120,3,4,4,46,46,66.3432,35,2180,8.0582,1501,173.272,33,1382,4.2616,1238,162.6685,34,1291,3.4896,1202,10.0643,1189
120,3,4,5,46,47,66.8261,35,2118,9.8708,1544,77.6361,34,2175,4.6381,1490,84.5198,34,2148,9.1584,1631,10.0778,1616
120,3,4,6,46,48,53.2618,35,2346,5.5958,1749,69.2556,35,1527,4.243,1187,204.5809,34,1267,1.8799,1267,10.0752,1215
120,3,4,7,46,49,54.1704,35,2408,8.775,1636,50.4106,35,1690,5.7438,1232,126.8917,34,1275,4.0496,1148,10.0855,1140
120,3,4,8,46,50,59.5733,35,2022,6.4375,1485,39.2707,35,1598,5.4233,1189,210.5658,34,1307,5.3679,1186,10.0872,1177
120,3,4,9,46,51,104.6159,35,1850,6.4668,1469,33.5673,35,1806,6.9469,1383,118.1352,34,1831,6.1525,1297,10.0794,1282
120,6,0,0,42,42,70.2431,44,1572,7.3857,1371,221.6875,44,1195,2.1027,1195,169.5978,44,1127,2.1798,1127,10.0877,965
120,6,0,1,42,43,104.8511,44,1599,2.0698,1599,84.6236,44,1368,6.631,1225,176.9298,44,1129,6.3045,998,10.0765,942
120,6,0,2,42,44,133.2917,44,1545,1.9928,1545,73.962,44,1399,6.5774,1197,204.0249,44,1127,6.5772,1030,10.0858,960
120,6,0,3,42,45,70.5787,44,1558,10.6081,1232,183.5885,44,1149,2.0537,1149,211.744,44,1115,2.3015,1115,10.0877,945
120,6,0,4,42,46,79.7534,44,1619,7.9,1309,189.1258,44,1205,6.5939,1071,95.542,44,1418,7.2391,1211,10.0802,1147
120,6,0,5,42,47,108.448,44,1575,1.974,1575,249.5242,44,1133,8.2931,1000,234.4933,44,1114,2.3245,1114,10.08,974
120,6,0,6,42,48,86.5809,44,1486,2.2078,1486,204.4475,44,1106,2.0225,1106,150.8936,44,1174,2.322,1174,10.0684,1094
120,6,0,7,42,49,47.7096,44,1755,13.509,1385,236.418,44,1160,5.8833,1044,189.5499,44,1155,5.7011,1056,10.0779,980
120,6,0,8,42,50,48.6118,44,1734,5.9645,1405,188.2183,44,1193,6.371,1017,135.5966,44,1209,2.1661,1209,10.0867,1045
120,6,0,9,42,51,129.9387,44,1462,2.0493,1462,193.3637,44,1132,4.615,1051,157.9681,44,1185,2.3108,1185,10.08,1003
120,6,1,0,43,42,114.8123,41,1363,5.6648,1028,173.2549,41,979,4.9908,854,77.9502,41,1071,5.1065,877,10.0756,752
120,6,1,1,43,43,105.7252,41,1258,6.6799,1034,138.0718,41,1055,5.8706,841,202.2573,41,932,6.6022,853,10.0732,767
120,6,1,2,43,44,29.9322,42,1575,9.577,1064,146.3014,41,941,5.1879,873,129.579,41,919,2.0419,919,10.0715,780
120,6,1,3,43,45,138.2706,41,1278,13.5207,944,213.0506,41,889,5.1484,796,217.7538,41,862,2.0256,862,10.0791,726
120,6,1,4,43,46,73.5371,41,1449,5.4499,1104,99.5815,41,1073,7.0221,850,202.9301,41,982,5.369,840,10.0887,778
120,6,1,5,43,47,127.2988,41,1286,12.0006,983,142.0526,41,874,1.8084,874,195.8466,41,852,4.517,802,10.0717,747
120,6,1,6,43,48,84.9231,41,1325,6.3943,1036,105.0047,41,978,5.7527,806,149.9766,41,1028,4.7657,879,10.0894,820
120,6,1,7,43,49,46.891,41,1674,6.7444,1118,143.4099,41,1034,5.6365,879,214.869,41,915,6.0708,840,10.0818,749
120,6,1,8,43,50,93.0788,41,1305,3.9616,1105,117.953,41,1047,7.7953,827,186.6944,41,892,4.4484,834,10.0859,756
120,6,1,9,43,51,76.0522,41,1443,4.2092,1127,163.5885,41,1017,8.0549,842,89.9736,41,1194,7.5736,904,10.0688,842
120,6,2,0,44,42,150.2572,45,1796,7.3159,1569,161.2732,45,1352,5.5024,1228,58.1165,45,1888,7.4124,1356,10.0833,1285
120,6,2,1,44,43,50.5594,45,1977,4.8061,1590,250.571,45,1269,2.1476,1269,122.6011,45,1499,5.5429,1256,10.079,1181
120,6,2,2,44,44,40.1294,45,1991,13.2087,1535,56.6682,45,1775,6.9656,1446,217.9839,45,1275,4.1019,1149,10.0811,1018
120,6,2,3,44,45,62.3704,45,1832,7.8938,1552,242.2253,45,1300,7.2752,1189,41.9127,45,2002,10.0102,1403,10.0847,1304
120,6,2,4,44,46,65.9559,45,1915,8.1832,1412,229.1121,45,1252,5.5132,1201,209.5302,45,1261,2.3572,1261,10.0697,1070
120,6,2,5,44,47,84.5113,45,1718,5.3244,1591,288.5766,45,1319,4.8735,1116,197.7048,45,1254,2.2479,1254,10.0766,1085
120,6,2,6,44,48,135.1454,45,1753,14.2957,1349,129.4534,45,1575,9.4028,1250,204.6263,45,1257,2.1752,1257,10.0865,1156
120,6,2,7,44,49,108.3495,45,1741,5.9475,1491,297.8989,45,1274,2.1407,1274,62.8989,45,1798,4.9564,1433,10.0761,1309
120,6,2,8,44,50,40.1425,45,1935,7.1765,1613,231.2206,45,1285,6.2663,1116,257.6338,45,1228,2.258,1228,10.0866,1011
120,6,2,9,44,51,177.7271,45,1615,8.6589,1326,100.5802,45,1609,5.38,1362,205.518,45,1281,2.2667,1281,10.0801,1125
120,6,3,0,45,42,40.183,42,2515,5.4123,1689,184.6407,42,1451,5.5772,1320,174.3959,42,1388,8.5379,1259,10.0767,1211
120,6,3,1,45,43,77.429,42,2211,5.1897,1730,141.59,42,1388,6.4124,1268,145.4815,42,1425,6.9078,1307,10.0684,1235
120,6,3,2,45,44,91.4139,42,2322,6.4805,1560,82.5074,42,1898,7.1698,1397,191.962,42,1429,6.946,1259,10.0842,1188
120,6,3,3,45,45,114.1927,42,2162,12.3924,1536,194.1942,42,1381,7.1987,1292,139.4779,42,1399,6.9197,1240,10.0851,1178
120,6,3,4,45,46,72.0379,42,2130,5.3461,1683,76.2881,42,1707,6.6929,1412,192.4964,42,1447,2.1162,1447,10.0765,1335
120,6,3,5,45,47,84.4602,42,2275,8.4826,1706,232.5804,42,1406,5.9814,1320,145.3762,42,1453,5.4234,1317,10.0729,1246
120,6,3,6,45,48,45.1432,42,2445,13.2423,1761,160.324,42,1387,6.5023,1310,206.6558,42,1476,6.7997,1340,10.0894,1297
120,6,3,7,45,49,109.8497,42,2046,10.7436,1549,155.2739,42,1385,5.1995,1256,180.2739,42,1399,5.0779,1301,10.0676,1258
120,6,3,8,45,50,75.7272,42,2370,10.0386,1607,165.6141,42,1425,2.0356,1425,162.2606,42,1467,5.1355,1339,10.0786,1291
120,6,3,9,45,51,92.0993,42,2258,4.2185,1830,157.2039,42,1378,5.5537,1266,180.309,42,1420,6.9243,1314,10.0761,1309
120,6,4,0,46,42,73.729,37,2421,5.8696,1759,127.6342,37,1636,6.4294,1478,141.8993,37,1650,4.6706,1520,10.0751,1488
120,6,4,1,46,43,69.2552,37,2401,5.5896,1941,177.6341,37,1681,5.2919,1501,192.8631,37,1597,5.0109,1516,10.0738,1457
120,6,4,2,46,44,66.1892,37,2373,8.6205,2123,188.5282,37,1611,5.3544,1505,132.5056,37,1569,7.4913,1469,10.0696,1432
120,6,4,3,46,45,62.9616,37,2382,5.4708,1957,140.6813,37,1665,5.3468,1433,135.1235,37,1671,6.0596,1537,10.0781,1499
120,6,4,4,46,46,155.911,37,2022,4.2664,1776,187.1312,37,1589,6.1597,1432,151.0299,37,1647,4.7769,1498,10.5335,1459
120,6,4,5,46,47,67.8769,37,2261,4.7044,2001,183.927,37,1668,6.1719,1560,170.828,37,1626,7.1384,1408,10.0712,1390
120,6,4,6,46,48,54.8295,37,2474,4.3878,1986,106.484,37,1730,5.9771,1522,180.4764,37,1672,5.0114,1512,10.6047,1472
120,6,4,7,46,49,61.4566,37,2309,10.3116,1708,135.4205,37,1642,4.61,1436,159.7792,37,1614,4.4701,1535,10.071,1459
120,6,4,8,46,50,43.2537,37,2541,9.4862,1891,127.6163,37,1674,4.3259,1467,142.3281,37,1671,5.7188,1457,10.0796,1407
120,6,4,9,46,51,77.8368,37,2433,7.6434,1910,141.8049,37,1612,5.0429,1470,161.8423,37,1692,5.3873,1477,10.6078,1430
