n_of_job,n_of_family,problem,iteration,seed1,seed2,RKGA_P1_time,RKGA_P1_bin,RKGA_P1_fitness,RKGA_P2_time,RKGA_P2_fitness,BRKGA_P1_time,BRKGA_P1_bin,BRKGA_P1_fitness,BRKGA_P2_time,BRKGA_P2_fitness,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness
30,3,3,8,45,50,6.7992,12,128,1.0764,117,4.8213,12,128,0.8305,117,6.3738,12,128,0.874,117,10.1798,117
30,3,3,9,45,51,5.8819,12,128,1.3259,117,4.9799,12,128,0.8845,117,3.6682,12,128,1.2251,117,8.8385,117
30,3,4,0,46,42,7.9597,8,71,0.4383,71,4.4777,8,71,0.526,71,4.2098,8,71,0.6024,71,0.1282,68
30,3,4,1,46,43,4.3342,8,71,0.3796,71,3.8847,8,71,0.549,71,3.7808,8,71,0.5607,71,0.1174,68
30,3,4,2,46,44,3.487,8,71,0.4132,71,5.2683,8,71,0.5227,71,3.3879,8,71,0.5969,71,0.1211,68
30,3,4,3,46,45,3.9342,8,71,0.3923,71,4.1066,8,71,0.5321,71,3.8381,8,71,0.5611,71,0.1097,68
30,3,4,4,46,46,4.5514,8,71,0.412,71,3.9553,8,71,0.5429,71,7.3246,8,71,0.6154,71,0.6056,68
30,3,4,5,46,47,5.3536,8,71,0.38,71,3.8213,8,71,0.5184,71,3.2433,8,71,0.5653,71,0.5745,68
30,3,4,6,46,48,4.6234,8,71,0.4255,71,4.2847,8,71,0.5457,71,3.3549,8,71,0.5653,71,0.1164,68
30,3,4,7,46,49,6.9972,8,71,0.413,71,3.6376,8,71,0.5657,71,3.517,8,71,0.5911,71,0.5889,68
30,3,4,8,46,50,4.6399,8,71,0.3969,71,3.4201,8,71,0.5377,71,4.1731,8,71,0.5522,71,0.5446,68
30,3,4,9,46,51,3.7544,8,71,0.3805,71,6.3948,8,71,0.5584,71,3.4731,8,71,0.5736,71,0.1305,68
30,6,0,0,42,42,3.2774,12,77,0.7238,75,3.4957,12,77,0.6883,75,4.0219,12,77,0.7494,75,6.6438,73
30,6,0,1,42,43,2.8723,12,77,0.7357,75,6.1804,12,77,0.7439,75,3.0764,12,77,0.723,75,7.7229,73
30,6,0,2,42,44,3.4046,12,77,0.7193,75,3.4424,12,77,0.6984,75,3.1816,12,77,0.7704,75,6.4863,73
30,6,0,3,42,45,5.8643,12,77,0.7587,75,3.2862,12,77,0.7019,75,3.6267,12,77,0.7679,75,6.7909,73
30,6,0,4,42,46,3.8414,12,77,0.6526,75,2.9949,12,77,0.7286,75,2.9912,12,77,0.7536,75,12.0477,73
30,6,0,5,42,47,3.5145,12,77,0.7423,75,3.2692,12,77,0.7661,75,3.0307,12,77,0.7453,75,8.1538,75
30,6,0,6,42,48,3.436,12,77,0.7153,75,6.603,12,77,0.7427,75,3.4695,12,77,0.6995,75,8.2104,73
30,6,0,7,42,49,3.0394,12,77,0.851,75,3.5707,12,77,0.7176,75,3.2441,12,77,0.7623,75,10.0909,73
30,6,0,8,42,50,3.1617,12,77,0.8054,75,3.4116,12,77,0.7269,75,3.1951,12,77,0.7804,75,7.1632,73
30,6,0,9,42,51,3.4696,12,77,0.7367,75,3.407,12,77,0.7392,75,6.5463,12,77,0.7975,75,8.1307,75
30,6,1,0,43,42,3.9454,12,76,1.0724,71,3.5064,12,76,0.8753,71,3.1996,12,76,1.1391,71,2.1815,69
30,6,1,1,43,43,2.9529,12,76,0.894,71,5.5856,12,76,1.2563,71,3.2871,12,76,0.7635,72,2.2653,69
30,6,1,2,43,44,3.3662,12,76,0.9374,71,3.3634,12,76,0.947,71,3.5853,12,76,0.9549,71,2.1322,69
