n_of_job,n_of_family,problem,iteration,seed1,seed2,EDD_P1_time,EDD_P1_bin,EDD_P1_fitness,EDD_CP_time,EDD_CP_fitness,SST_P1_time,SST_P1_bin,SST_P1_fitness,SST_CP_time,SST_CP_fitness,LA_P1_time,LA_P1_bin,LA_P1_fitness,LA_CP_time,LA_CP_fitness
120,6,0,9,42,51,0.0096,49,2276,11.573,1323,0.012,50,2816,10.0783,1400,0.0119,45,2324,10.0635,1362
120,6,1,0,43,42,0.0101,48,1936,10.0786,1015,0.0098,47,2116,11.7799,1075,0.0119,42,1575,10.0646,886
120,6,1,1,43,43,0.0095,48,1936,10.065,1015,0.0112,47,2116,11.4647,1075,0.0115,42,1575,10.0725,886
120,6,1,2,43,44,0.0095,48,1936,10.0816,1015,0.0095,47,2116,11.6606,1075,0.0113,42,1575,10.0626,886
120,6,1,3,43,45,0.0093,48,1936,10.076,1015,0.0115,47,2116,11.6307,1075,0.0113,42,1575,10.0594,886
120,6,1,4,43,46,0.0092,48,1936,10.0614,1015,0.0097,47,2116,11.6638,1075,0.0122,42,1575,10.0653,886
120,6,1,5,43,47,0.0093,48,1936,10.0601,1015,0.0106,47,2116,10.0728,1075,0.0123,42,1575,11.7264,886
120,6,1,6,43,48,0.0099,48,1936,10.0727,1015,0.0091,47,2116,10.07,1075,0.0115,42,1575,11.7086,886
120,6,1,7,43,49,0.0098,48,1936,10.0823,1015,0.0115,47,2116,10.0791,1075,0.0112,42,1575,11.656,886
120,6,1,8,43,50,0.0092,48,1936,10.0718,1015,0.0099,47,2116,10.0627,1075,0.0122,42,1575,11.6743,886
120,6,1,9,43,51,0.0091,48,1936,10.0626,1015,0.0104,47,2116,10.1057,1075,0.0124,42,1575,11.6482,886
120,6,2,0,44,42,0.0093,52,2447,10.0664,1357,0.0096,49,3069,10.07,1599,0.0128,46,2401,10.0603,1459
120,6,2,1,44,43,0.0105,52,2447,11.6452,1357,0.0102,49,3069,10.082,1598,0.0119,46,2401,10.064,1459
120,6,2,2,44,44,0.0103,52,2447,11.6644,1357,0.0104,49,3069,10.0749,1596,0.012,46,2401,10.0764,1459
120,6,2,3,44,45,0.0094,52,2447,11.7667,1357,0.0103,49,3069,10.0795,1599,0.0119,46,2401,10.078,1459
120,6,2,4,44,46,0.0095,52,2447,11.7498,1357,0.0103,49,3069,10.0677,1599,0.0121,46,2401,10.0818,1459
120,6,2,5,44,47,0.0095,52,2447,11.9536,1357,0.0106,49,3069,10.0671,1599,0.012,46,2401,10.0492,1459
120,6,2,6,44,48,0.0097,52,2447,10.0635,1357,0.0104,49,3069,11.9027,1599,0.012,46,2401,10.0639,1459
120,6,2,7,44,49,0.0096,52,2447,10.0667,1357,0.0103,49,3069,11.5796,1599,0.0129,46,2401,10.0627,1459
120,6,2,8,44,50,0.0106,52,2447,10.0717,1357,0.0102,49,3069,11.8909,1599,0.0129,46,2401,10.0817,1459
120,6,2,9,44,51,0.0096,52,2447,10.0698,1357,0.0097,49,3069,11.8999,1599,0.0145,46,2401,10.0673,1459
120,6,3,0,45,42,0.0098,49,2838,10.066,1455,0.0104,49,3142,10.0662,1522,0.0123,43,2900,11.9137,1503
120,6,3,1,45,43,0.0094,49,2838,10.0657,1455,0.0102,49,3142,10.0896,1512,0.0139,43,2900,11.766,1503
120,6,3,2,45,44,0.0095,49,2838,10.0713,1455,0.0098,49,3142,10.0828,1510,0.0122,43,2900,11.7046,1503
120,6,3,3,45,45,0.01,49,2838,10.0715,1455,0.0094,49,3142,10.0597,1518,0.0142,43,2900,11.6652,1503
120,6,3,4,45,46,0.0104,49,2838,10.0583,1455,0.0095,49,3142,10.0613,1510,0.0116,43,2900,11.8808,1503
120,6,3,5,45,47,0.01,49,2838,10.0741,1455,0.0095,49,3142,10.0705,1510,0.0132,43,2900,10.0649,1503
120,6,3,6,45,48,0.0098,49,2838,11.7115,1455,0.0094,49,3142,10.0753,1510,0.0118,43,2900,10.0635,1503
120,6,3,7,45,49,0.0099,49,2838,11.9525,1455,0.0093,49,3142,10.0661,1510,0.0131,43,2900,10.07,1503
120,6,3,8,45,50,0.0102,49,2838,11.9476,1455,0.0096,49,3142,10.0814,1510,0.0117,43,2900,10.0694,1503
120,6,3,9,45,51,0.0103,49,2838,11.9194,1455,0.0105,49,3142,10.0912,1510,0.0131,43,2900,10.0526,1503
120,6,4,0,46,42,0.0083,41,3092,11.7574,1740,0.0097,42,3960,10.0637,2235,0.0108,38,2575,10.0567,1805
120,6,4,1,46,43,0.0088,41,3092,10.0709,1740,0.0094,42,3960,11.8942,2235,0.0121,38,2575,10.1072,1805
120,6,4,2,46,44,0.0093,41,3092,10.0626,1740,0.0101,42,3960,11.734,2235,0.0107,38,2575,10.0723,1805
120,6,4,3,46,45,0.009,41,3092,10.061,1740,0.0092,42,3960,11.4859,2235,0.0108,38,2575,10.0619,1805
120,6,4,4,46,46,0.0089,41,3092,10.061,1740,0.009,42,3960,11.5463,2235,0.0111,38,2575,10.0575,1805
120,6,4,5,46,47,0.0087,41,3092,10.0587,1740,0.0093,42,3960,11.5966,2235,0.0108,38,2575,10.0734,1805
120,6,4,6,46,48,0.0087,41,3092,10.0591,1740,0.0092,42,3960,10.0749,2235,0.0109,38,2575,11.6071,1805
120,6,4,7,46,49,0.0088,41,3092,10.0769,1740,0.0091,42,3960,10.0602,2235,0.0108,38,2575,11.6413,1805
120,6,4,8,46,50,0.0088,41,3092,10.0687,1740,0.0095,42,3960,10.0798,2235,0.0109,38,2575,11.6499,1805
120,6,4,9,46,51,0.0089,41,3092,10.0703,1740,0.0091,42,3960,10.0542,2235,0.0117,38,2575,11.6662,1805
